elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
68150.002451, 10.00055, 39, 13673, 16890.6, 16165, 21616, 29958, 29958, 29958, 0
68160.002588, 10.000137, 45, 9807, 16704.3, 15453, 23095, 33466, 33466, 33466, 0
68170.001302, 9.998714, 41, 8479, 15467.2, 14664, 23047, 28299, 28299, 28299, 0
68180.001206, 9.999904, 46, 11648, 16179.5, 15573, 23207, 28665, 28665, 28665, 0
68190.001279, 10.000073, 40, 11854, 16578.0, 16143, 20303, 37836, 37836, 37836, 0
68200.001242, 9.999963, 39, 6271, 15198.9, 14701, 23874, 26128, 26128, 26128, 0
68210.001315, 10.000073, 45, 7346, 16226.5, 16281, 24447, 29913, 29913, 29913, 0
68220.001345, 10.00003, 40, 8758, 15800.9, 15182, 21071, 21963, 21963, 21963, 0
68230.001625, 10.00028, 51, 8429, 15734.5, 15268, 21041, 22090, 35906, 35906, 0
68240.002878, 10.001253, 41, 10921, 15848.8, 15118, 21497, 26311, 26311, 26311, 0
68250.001283, 9.998405, 36, 8391, 16565.4, 15991, 20992, 30845, 30845, 30845, 0
68260.001207, 9.999924, 32, 8323, 16596.7, 15960, 22947, 28714, 28714, 28714, 0
68270.001327, 10.00012, 40, 9855, 16215.4, 15960, 19787, 24949, 24949, 24949, 0
68280.001179, 9.999852, 41, 10148, 16074.9, 15448, 25215, 27658, 27658, 27658, 0
68290.001215, 10.000036, 35, 9571, 17087.5, 16218, 23776, 29535, 29535, 29535, 0
68300.001354, 10.000139, 45, 8493, 15403.3, 14763, 23390, 25276, 25276, 25276, 0
68310.001646, 10.000292, 32, 10673, 16919.7, 16141, 22373, 23941, 23941, 23941, 0
68320.001436, 9.99979, 34, 12047, 17324.7, 15808, 27612, 32194, 32194, 32194, 0
68330.001447, 10.000011, 44, 9762, 15918.1, 14875, 23569, 28136, 28136, 28136, 0
68340.001715, 10.000268, 45, 7919, 15135.5, 14801, 21410, 29176, 29176, 29176, 0
68350.001234, 9.999519, 43, 11355, 16066.5, 15538, 21337, 22483, 22483, 22483, 0
68360.001241, 10.000007, 34, 10332, 17263.9, 16332, 26057, 27023, 27023, 27023, 0
68370.002023, 10.000782, 43, 7392, 15384.8, 14838, 22637, 43266, 43266, 43266, 0
68380.001223, 9.9992, 40, 9339, 16569.6, 16266, 21987, 22930, 22930, 22930, 0
68390.001219, 9.999996, 37, 7839, 16645.1, 15668, 24173, 30079, 30079, 30079, 0
68400.001843, 10.000624, 54, 9930, 16464.1, 15662, 24173, 26509, 27264, 27264, 0
68410.002369, 10.000526, 39, 11245, 15631.5, 15739, 20652, 25913, 25913, 25913, 0
68420.001239, 9.99887, 44, 9684, 15850.6, 15251, 25565, 30293, 30293, 30293, 0
68430.001252, 10.000013, 37, 8329, 14944.6, 14946, 18882, 25565, 25565, 25565, 0
68440.001225, 9.999973, 40, 8983, 15221.4, 14763, 20527, 27454, 27454, 27454, 0
68450.001621, 10.000396, 36, 9082, 16833.2, 16444, 23231, 31875, 31875, 31875, 0
68460.001421, 9.9998, 39, 8474, 15250.9, 15229, 20190, 23800, 23800, 23800, 0
68470.00354, 10.002119, 33, 8838, 15739.3, 15355, 21008, 22138, 22138, 22138, 0
68480.001252, 9.997712, 44, 8167, 16834.2, 15195, 25627, 30178, 30178, 30178, 0
68490.001211, 9.999959, 33, 7745, 15525.1, 14991, 22428, 26133, 26133, 26133, 0
68500.001226, 10.000015, 34, 7745, 16615.2, 15882, 23977, 24875, 24875, 24875, 0
68510.001734, 10.000508, 47, 11465, 16771.1, 16187, 22354, 26822, 26822, 26822, 0
68520.001746, 10.000012, 40, 9464, 15456.5, 14563, 20844, 22438, 22438, 22438, 0
68530.001233, 9.999487, 44, 10876, 16042.8, 15011, 21905, 22378, 22378, 22378, 0
68540.001189, 9.999956, 52, 8990, 15579.6, 15371, 22511, 23875, 26923, 26923, 0
68550.001367, 10.000178, 37, 10783, 16787.5, 15385, 25495, 27582, 27582, 27582, 0
68560.001188, 9.999821, 35, 7465, 16517.1, 15593, 24519, 27645, 27645, 27645, 0
68570.00118, 9.999992, 41, 11450, 16731.8, 15345, 22953, 33010, 33010, 33010, 0
68580.001207, 10.000027, 41, 8437, 16111.9, 15229, 22193, 23426, 23426, 23426, 0
68590.001212, 10.000005, 53, 11032, 16388.8, 15427, 23858, 28931, 32221, 32221, 0
68600.001651, 10.000439, 45, 6306, 15887.5, 14840, 24041, 30731, 30731, 30731, 0
68610.00118, 9.999529, 34, 6306, 15730.5, 15099, 21024, 22530, 22530, 22530, 0
68620.001523, 10.000343, 37, 9614, 16908.9, 16178, 22135, 45107, 45107, 45107, 0
68630.001332, 9.999809, 28, 9627, 17123.2, 16520, 22319, 26186, 26186, 26186, 0
68640.001623, 10.000291, 42, 8316, 16115.0, 17007, 20323, 25027, 25027, 25027, 0
68650.001653, 10.00003, 34, 11550, 16681.7, 15381, 24400, 31263, 31263, 31263, 0
68660.001857, 10.000204, 31, 8897, 15500.3, 14922, 21292, 26833, 26833, 26833, 0
68670.001262, 9.999405, 40, 10947, 16233.4, 15958, 22881, 26364, 26364, 26364, 0
68680.001815, 10.000553, 35, 7324, 15636.9, 15003, 20923, 28392, 28392, 28392, 0
68690.001462, 9.999647, 42, 6869, 15133.8, 13958, 24063, 27297, 27297, 27297, 0
68700.001206, 9.999744, 33, 8782, 16913.9, 16029, 24718, 33009, 33009, 33009, 0
68710.001891, 10.000685, 41, 7879, 16162.5, 15805, 23676, 29146, 29146, 29146, 0
68720.001181, 9.99929, 33, 11412, 16005.7, 15084, 20387, 22279, 22279, 22279, 0
68730.001875, 10.000694, 43, 9614, 15558.8, 15284, 23183, 26456, 26456, 26456, 0
68740.001273, 9.999398, 43, 10357, 16047.6, 15503, 22345, 24473, 24473, 24473, 0
68750.001278, 10.000005, 43, 9471, 16437.8, 16009, 20797, 29048, 29048, 29048, 0
68760.00117, 9.999892, 37, 9515, 15864.4, 15243, 21602, 35726, 35726, 35726, 0
68770.001414, 10.000244, 40, 8358, 16420.7, 15517, 24722, 35726, 35726, 35726, 0
68780.001249, 9.999835, 38, 6451, 17696.8, 17318, 24768, 26188, 26188, 26188, 0
68790.001933, 10.000684, 37, 10847, 16051.8, 15942, 22729, 25050, 25050, 25050, 0
